diameter,x_center,Re,Cd
0.1,1.0,10.0,1.50891
0.1,2.0,10.0,1.48624
0.1,3.0,10.0,1.48538
0.3,1.0,30.0,1.44023
0.3,2.0,30.0,1.3811
0.3,3.0,30.0,1.37906
0.5,1.0,50.0,1.71323
0.5,2.0,50.0,1.6029
0.5,3.0,50.0,1.59919
