diameter,x_center,Re,Cd,channel_height,U_inlet,blockage_ratio,flow_regime
0.183848,2.156161,18.38,1.37675,2.0,0.001,0.091924,0
0.183848,2.260869,18.38,1.38095,2.0,0.001,0.091924,0
0.183848,2.370784,18.38,1.37723,2.0,0.001,0.091924,0
0.183848,2.476135,18.38,1.37556,2.0,0.001,0.091924,0
0.183848,2.580571,18.38,1.3765,2.0,0.001,0.091924,0
0.183848,2.683182,18.38,1.37482,2.0,0.001,0.091924,0
0.183848,2.787356,18.38,1.37566,2.0,0.001,0.091924,0
0.183848,2.895706,18.38,1.3762,2.0,0.001,0.091924,0
0.183848,2.999685,18.38,1.37666,2.0,0.001,0.091924,0
0.204901,1.000589,20.49,1.40578,2.0,0.001,0.1024505,0
0.204901,1.103366,20.49,1.39158,2.0,0.001,0.1024505,0
0.204901,1.209432,20.49,1.38323,2.0,0.001,0.1024505,0
0.204901,1.315086,20.49,1.37755,2.0,0.001,0.1024505,0
0.204901,1.527817,20.49,1.36879,2.0,0.001,0.1024505,0
0.204901,1.420821,20.49,1.37774,2.0,0.001,0.1024505,0
0.204901,1.629998,20.49,1.3764,2.0,0.001,0.1024505,0
0.204901,1.736917,20.49,1.36783,2.0,0.001,0.1024505,0
0.204901,1.842592,20.49,1.37206,2.0,0.001,0.1024505,0
0.204901,1.944981,20.49,1.36665,2.0,0.001,0.1024505,0
0.204901,2.053198,20.49,1.362,2.0,0.001,0.1024505,0
0.204901,2.156161,20.49,1.3658,2.0,0.001,0.1024505,0
0.204901,2.260869,20.49,1.36216,2.0,0.001,0.1024505,0
0.204901,2.370784,20.49,1.36787,2.0,0.001,0.1024505,0
0.204901,2.476135,20.49,1.36372,2.0,0.001,0.1024505,0
0.204901,2.580571,20.49,1.37097,2.0,0.001,0.1024505,0
0.204901,2.683182,20.49,1.3663,2.0,0.001,0.1024505,0
0.204901,2.787356,20.49,1.36417,2.0,0.001,0.1024505,0
0.204901,2.895706,20.49,1.36646,2.0,0.001,0.1024505,0
0.204901,2.999685,20.49,1.36423,2.0,0.001,0.1024505,0
0.225851,1.000589,22.59,1.40355,2.0,0.001,0.1129255,0
0.225851,1.103366,22.59,1.39022,2.0,0.001,0.1129255,0
0.225851,1.315086,22.59,1.37481,2.0,0.001,0.1129255,0
0.225851,1.209432,22.59,1.38032,2.0,0.001,0.1129255,0
0.225851,1.420821,22.59,1.37283,2.0,0.001,0.1129255,0
0.225851,1.527817,22.59,1.36703,2.0,0.001,0.1129255,0
0.225851,1.629998,22.59,1.37047,2.0,0.001,0.1129255,0
0.225851,1.736917,22.59,1.36411,2.0,0.001,0.1129255,0
0.225851,1.944981,22.59,1.36195,2.0,0.001,0.1129255,0
0.225851,1.842592,22.59,1.3693,2.0,0.001,0.1129255,0
0.225851,2.053198,22.59,1.35926,2.0,0.001,0.1129255,0
0.225851,2.156161,22.59,1.36433,2.0,0.001,0.1129255,0
0.225851,2.260869,22.59,1.36024,2.0,0.001,0.1129255,0
0.225851,2.370784,22.59,1.36206,2.0,0.001,0.1129255,0
0.225851,2.476135,22.59,1.35844,2.0,0.001,0.1129255,0
0.225851,2.580571,22.59,1.36654,2.0,0.001,0.1129255,0
0.225851,2.683182,22.59,1.36343,2.0,0.001,0.1129255,0
0.225851,2.787356,22.59,1.36002,2.0,0.001,0.1129255,0
0.225851,2.895706,22.59,1.3624,2.0,0.001,0.1129255,0
0.225851,2.999685,22.59,1.35847,2.0,0.001,0.1129255,0
0.247754,1.103366,24.78,1.39335,2.0,0.001,0.123877,0
0.247754,1.315086,24.78,1.37498,2.0,0.001,0.123877,0
0.247754,1.000589,24.78,1.40637,2.0,0.001,0.123877,0
0.247754,1.209432,24.78,1.38351,2.0,0.001,0.123877,0
0.247754,1.420821,24.78,1.37183,2.0,0.001,0.123877,0
0.247754,1.527817,24.78,1.36589,2.0,0.001,0.123877,0
0.247754,1.842592,24.78,1.36935,2.0,0.001,0.123877,0
0.247754,1.736917,24.78,1.36312,2.0,0.001,0.123877,0
0.247754,1.944981,24.78,1.36257,2.0,0.001,0.123877,0
0.247754,1.629998,24.78,1.37269,2.0,0.001,0.123877,0
0.247754,2.053198,24.78,1.35986,2.0,0.001,0.123877,0
