diameter,x_center,Re,Cd
0.268527,1.736917,26.85,1.36468
0.268527,1.842592,26.85,1.36513
0.268527,1.944981,26.85,1.35904
0.268527,2.053198,26.85,1.36443
0.268527,2.156161,26.85,1.35843
0.268527,2.260869,26.85,1.36123
0.268527,2.370784,26.85,1.35886
0.268527,2.476135,26.85,1.35971
0.268527,2.580571,26.85,1.36178
0.268527,2.683182,26.85,1.35826
0.268527,2.787356,26.85,1.36007
0.268527,2.895706,26.85,1.3579
0.268527,2.999685,26.85,1.36076
0.289693,1.000589,28.97,1.43804
0.289693,1.103366,28.97,1.41449
0.289693,1.209432,28.97,1.4062
0.289693,1.315086,28.97,1.39484
0.289693,1.420821,28.97,1.38483
0.289693,1.527817,28.97,1.38347
0.289693,1.629998,28.97,1.37556
0.289693,1.736917,28.97,1.38215
0.289693,1.842592,28.97,1.3697
0.289693,1.944981,28.97,1.3712
0.289693,2.053198,28.97,1.37531
0.289693,2.156161,28.97,1.37028
0.289693,2.260869,28.97,1.37817
0.289693,2.370784,28.97,1.3712
0.289693,2.683182,28.97,1.37041
0.289693,2.580571,28.97,1.36824
0.289693,2.476135,28.97,1.37716
0.289693,2.787356,28.97,1.37953
0.289693,2.895706,28.97,1.36891
0.289693,2.999685,28.97,1.3789
0.310022,1.209432,31.0,1.41405
0.310022,1.103366,31.0,1.4277
0.310022,1.000589,31.0,1.45097
0.310022,1.315086,31.0,1.40474
0.310022,1.527817,31.0,1.39458
0.310022,1.420821,31.0,1.39944
0.310022,1.842592,31.0,1.3923
0.310022,1.629998,31.0,1.39546
0.310022,1.736917,31.0,1.39344
0.310022,1.944981,31.0,1.38835
0.310022,2.156161,31.0,1.38203
0.310022,2.053198,31.0,1.38538
0.310022,2.260869,31.0,1.38768
0.310022,2.476135,31.0,1.38514
0.310022,2.370784,31.0,1.38488
0.310022,2.580571,31.0,1.38811
0.310022,2.683182,31.0,1.38565
0.310022,2.787356,31.0,1.38798
0.310022,2.999685,31.0,1.38804
0.332074,1.000589,33.21,1.46922
0.310022,2.895706,31.0,1.38519
0.332074,1.103366,33.21,1.44848
0.332074,1.315086,33.21,1.42586
0.332074,1.209432,33.21,1.43522
0.332074,1.629998,33.21,1.40659
0.332074,1.527817,33.21,1.41118
0.332074,1.420821,33.21,1.41447
0.332074,1.736917,33.21,1.40542
0.332074,1.842592,33.21,1.40151
0.332074,1.944981,33.21,1.39969
0.332074,2.053198,33.21,1.40265
0.332074,2.156161,33.21,1.40056
0.332074,2.260869,33.21,1.40225
0.332074,2.370784,33.21,1.39879
0.332074,2.476135,33.21,1.40464
0.332074,2.580571,33.21,1.39807
0.332074,2.683182,33.21,1.39724
0.332074,2.787356,33.21,1.40015
0.332074,2.895706,33.21,1.39801
0.332074,2.999685,33.21,1.40018
0.352982,1.000589,35.3,1.49283
0.352982,1.103366,35.3,1.46612
0.352982,1.209432,35.3,1.45193
0.352982,1.315086,35.3,1.44121
0.352982,1.420821,35.3,1.4331
0.352982,1.527817,35.3,1.42888
0.352982,1.629998,35.3,1.42551
0.352982,1.736917,35.3,1.42037
0.352982,1.842592,35.3,1.42079
0.352982,1.944981,35.3,1.4195
0.352982,2.053198,35.3,1.41725
0.352982,2.156161,35.3,1.41767
0.352982,2.260869,35.3,1.41771
0.352982,2.370784,35.3,1.41636
0.352982,2.476135,35.3,1.41964
0.352982,2.580571,35.3,1.41524
0.352982,2.683182,35.3,1.41548
0.352982,2.787356,35.3,1.41225
0.352982,2.895706,35.3,1.41545
0.352982,2.999685,35.3,1.41635
0.373381,1.000589,37.34,1.50453
0.373381,1.103366,37.34,1.48287
0.373381,1.209432,37.34,1.46692
0.373381,1.315086,37.34,1.45376
0.373381,1.420821,37.34,1.45002
0.373381,1.527817,37.34,1.4423
0.373381,1.629998,37.34,1.43837
0.373381,1.842592,37.34,1.43449
0.373381,1.736917,37.34,1.43748
0.373381,1.944981,37.34,1.43618
0.373381,2.053198,37.34,1.4311
0.373381,2.156161,37.34,1.43273
0.373381,2.260869,37.34,1.42972
0.373381,2.370784,37.34,1.43225
0.373381,2.580571,37.34,1.43308
0.373381,2.476135,37.34,1.42837
0.373381,2.683182,37.34,1.43273
0.373381,2.787356,37.34,1.42841
0.373381,2.895706,37.34,1.43261
0.373381,2.999685,37.34,1.42856
0.394402,1.000589,39.44,1.53746
0.394402,1.103366,39.44,1.51062
0.394402,1.209432,39.44,1.4901
0.394402,1.315086,39.44,1.47971
0.394402,1.420821,39.44,1.47157
0.394402,1.527817,39.44,1.46585
0.394402,1.629998,39.44,1.46669
0.394402,1.736917,39.44,1.4588
0.394402,1.842592,39.44,1.46214
0.394402,1.944981,39.44,1.46033
0.394402,2.053198,39.44,1.45543
0.394402,2.156161,39.44,1.45944
0.394402,2.370784,39.44,1.45271
0.394402,2.260869,39.44,1.45112
0.394402,2.476135,39.44,1.45279
0.394402,2.580571,39.44,1.45861
0.394402,2.683182,39.44,1.45433
0.394402,2.787356,39.44,1.45235
0.394402,2.999685,39.44,1.45109
0.394402,2.895706,39.44,1.4532
0.415456,1.000589,41.55,1.57266
0.415456,1.103366,41.55,1.54825
0.415456,1.209432,41.55,1.52389
0.415456,1.315086,41.55,1.51462
0.415456,1.420821,41.55,1.50412
0.415456,1.527817,41.55,1.49759
0.415456,1.629998,41.55,1.49747
0.415456,1.736917,41.55,1.48936
0.415456,1.842592,41.55,1.49168
0.415456,1.944981,41.55,1.48542
0.415456,2.156161,41.55,1.48808
0.415456,2.053198,41.55,1.48579
0.415456,2.260869,41.55,1.48424
0.415456,2.370784,41.55,1.48395
0.415456,2.476135,41.55,1.48227
0.415456,2.580571,41.55,1.48436
0.415456,2.787356,41.55,1.48236
0.415456,2.683182,41.55,1.48084
0.415456,2.895706,41.55,1.48193
0.415456,2.999685,41.55,1.48406
0.436636,1.000589,43.66,1.60918
0.436636,1.315086,43.66,1.5439
0.436636,1.209432,43.66,1.55655
0.436636,1.103366,43.66,1.5791
0.436636,1.420821,43.66,1.53003
0.436636,1.527817,43.66,1.52758
0.436636,1.629998,43.66,1.52287
0.436636,1.736917,43.66,1.52131
0.436636,1.842592,43.66,1.51798
0.436636,1.944981,43.66,1.51155
0.436636,2.053198,43.66,1.51516
0.436636,2.156161,43.66,1.51152
0.436636,2.260869,43.66,1.512
0.436636,2.476135,43.66,1.51211
0.436636,2.370784,43.66,1.50865
0.436636,2.580571,43.66,1.50993
0.436636,2.787356,43.66,1.5139
0.436636,2.683182,43.66,1.50776
0.436636,2.895706,43.66,1.50742
0.436636,2.999685,43.66,1.51232
0.457921,1.000589,45.79,1.64369
0.457921,1.103366,45.79,1.60861
0.457921,1.209432,45.79,1.58983
0.457921,1.315086,45.79,1.57261
0.457921,1.420821,45.79,1.55844
0.457921,1.527817,45.79,1.55559
0.457921,1.736917,45.79,1.54912
0.457921,1.629998,45.79,1.54795
0.457921,1.842592,45.79,1.54155
0.457921,1.944981,45.79,1.53975
0.457921,2.053198,45.79,1.54124
0.457921,2.260869,45.79,1.54139
0.457921,2.156161,45.79,1.53731
0.457921,2.370784,45.79,1.53578
0.457921,2.476135,45.79,1.54173
0.457921,2.580571,45.79,1.53666
0.457921,2.683182,45.79,1.5352
0.457921,2.787356,45.79,1.54094
0.457921,2.895706,45.79,1.53406
0.457921,2.999685,45.79,1.542
0.478876,1.103366,47.89,1.63702
0.478876,1.000589,47.89,1.67361
0.478876,1.209432,47.89,1.61964
0.478876,1.315086,47.89,1.59848
0.478876,1.420821,47.89,1.59071
0.478876,1.527817,47.89,1.57894
0.478876,1.629998,47.89,1.57595
0.478876,1.736917,47.89,1.57477
0.478876,1.842592,47.89,1.56912
0.478876,1.944981,47.89,1.5706
0.478876,2.053198,47.89,1.56647
0.478876,2.156161,47.89,1.56692
0.478876,2.260869,47.89,1.56929
0.478876,2.370784,47.89,1.56684
0.478876,2.580571,47.89,1.56413
0.478876,2.476135,47.89,1.56266
0.478876,2.683182,47.89,1.566
0.478876,2.787356,47.89,1.56593
0.478876,2.895706,47.89,1.56604
0.478876,2.999685,47.89,1.5663
0.49978,1.209432,49.98,1.6549
0.49978,1.000589,49.98,1.71646
0.49978,1.103366,49.98,1.68017
0.49978,1.315086,49.98,1.63963
0.49978,1.420821,49.98,1.62905
0.49978,1.527817,49.98,1.62019
0.49978,1.629998,49.98,1.61679
0.49978,1.842592,49.98,1.6095
0.49978,1.736917,49.98,1.61031
0.49978,1.944981,49.98,1.60706
0.49978,2.156161,49.98,1.60355
0.49978,2.053198,49.98,1.60474
0.49978,2.260869,49.98,1.60202
0.49978,2.370784,49.98,1.60378
0.49978,2.476135,49.98,1.60547
0.49978,2.580571,49.98,1.60402
0.49978,2.683182,49.98,1.6036
0.49978,2.787356,49.98,1.60034
0.49978,2.895706,49.98,1.60209
0.49978,2.999685,49.98,1.60028
