diameter,x_center,U_inlet,channel_height,Re,Cd
0.26890343955629964,1.0542444862409919,7.374242062402658,2.0215131598547034,132197.2703133877,1.1473059177785072
0.22121772103392318,2.8665818961274807,12.020879059268154,2.280534394393389,177282.09802104742,0.9913257431678519
0.3167205213919274,1.0287089535469167,18.156697574035178,1.773863806391076,383373.24816026434,1.2753038984856955
0.25830087369168575,2.4197447309755833,8.395171064840223,2.7968416780043897,144565.33472262596,1.0177324645585955
0.059199454852633615,1.7392214451685921,12.66599836988819,1.8747809811710638,49988.01324411512,0.7103458691701676
0.49451524038690114,2.372097510593453,5.847165808940289,2.506069678473615,192767.50703934507,1.295865197770205
0.490884697730592,1.802198456248418,8.078876059273021,2.695366175055757,264386.4421572769,1.2983303782827182
0.07596113945713921,1.83326780418703,18.807657135322764,3.775162451337829,95243.40443455412,0.876154986557684
0.13240656327301492,1.9246692872157687,11.938992046939932,2.8834381667930895,105386.7270586116,0.8414239085749771
0.21188307064519812,2.5420971802950962,8.683192719528474,3.7066509300265875,122654.76909451478,0.9325029398243991
0.12215096617874432,1.0247809425700127,19.418375648629095,3.7935583594803486,158131.55647345632,0.8278655677571604
0.46640675717767566,2.7945181611758603,16.625913325661728,3.0890526432045786,516962.5546225994,1.2303145881273363
0.38409176806024803,1.0813405965736318,19.16884503864121,1.69109635484489,490839.70550430764,1.40376217276449
0.36798575404642253,2.075440990065563,16.124002753925744,3.4449631886512453,395560.22077666386,1.140671881818782
0.2680984373343886,2.2301156151754276,18.363042916805565,3.28617500571292,328206.874046659,1.031470210692235
0.46808697580201547,1.3857250352161885,13.485806090056169,3.3744273496323203,420835.34592978633,1.2888284926281883
0.22637226394888887,2.4902531304430706,18.583562459815415,3.802957356781377,280453.54041759984,0.965873658099203
0.4688287535119995,1.9737856823973678,8.823223785177637,3.273480249509687,275772.0672774838,1.2606253843046917
0.4866319372340587,2.4150642420565385,10.248250917749328,2.33359308053989,332475.0798243384,1.373286107819385
0.33920211781370535,1.5983744525542396,7.705579388460019,3.5041651354004615,174249.92316981836,1.1414402786599194
0.23615485539886977,2.845995820899587,14.655430636918606,2.0465183981246113,230730.07352464527,1.0266321989686873
0.42773576561800997,2.3373523339410927,15.633289035429762,3.251080508954468,445794.45697981265,1.1413272191302157
0.27587955913417955,1.3556398085568975,9.118329219482106,2.9826906138487432,167704.04300740207,1.0869006476534333
0.06611324813406186,2.8203895904138245,9.756326711304991,1.8639881831760239,43001.49658276551,0.8956318839747999
0.09969912418643079,2.345132439243364,18.696519154935686,2.1886387921907744,124268.43900546098,0.8581478901023722
0.06448227737836315,1.609201171464757,5.172023901156215,3.8151541181132615,22233.591986791926,0.8849111345349567
0.18472463903826442,2.8776831217242327,6.224696816511823,1.9007169285795382,76656.99150351867,0.9525429184460183
0.052017332423148314,2.349122148176196,14.797037208806746,2.371863455796488,51313.49355787968,0.8859545907128797
0.4023984593519834,2.742475915095614,17.65095463732556,2.9268485870344056,473514.46347677015,1.2079183252094736
0.46547436865050196,2.9356494003227356,10.606459822936385,2.8301905116772526,329135.67931321525,1.2372069403356887
0.18627431182797854,2.9934006135937805,13.037466670365804,2.317920962989147,161903.00880017312,0.9151063816021066
0.0715625472435243,1.218024036723022,7.9601041636300165,3.73927737905567,37976.35535154317,0.7572062048806197
0.1669069373290497,2.161649421711289,18.794882210943896,2.7303743994081158,209133.08181925892,0.9547473140371263
0.1670372967080827,1.2740707862522285,12.56651794318249,3.104586350000388,139938.47908418791,0.9734078132505946
