diameter,x_center,U_inlet,Re,Cd
0.3,1.664,10.0,200000.0,1.1559418666666665
0.3,1.664,12.5,250000.0,1.1694976
0.3,1.664,15.0,300000.0,1.170117925925926
0.3,1.664,17.5,350000.0,1.1727407891156463
0.3,1.664,20.0,400000.0,1.176229
0.3,1.664,5.0,100000.0,1.1746394666666666
0.3,1.664,7.5,150000.0,1.1536602074074074
0.3,2.004,10.0,200000.0,1.1745665333333333
0.3,2.004,12.5,250000.0,1.1756151466666667
0.3,2.004,15.0,300000.0,1.1673765925925927
0.3,2.004,17.5,350000.0,1.1636580136054422
0.3,2.004,20.0,400000.0,1.1595383333333333
0.3,2.004,5.0,100000.0,1.2017978666666667
0.3,2.004,7.5,150000.0,1.1774034962962963
0.3,2.332,10.0,200000.0,1.1688268000000002
0.3,2.332,12.5,250000.0,1.1670229333333333
0.3,2.332,15.0,300000.0,1.1547952592592592
0.3,2.332,17.5,350000.0,1.1503220680272108
0.3,2.332,20.0,400000.0,1.1492156666666666
0.3,2.332,5.0,100000.0,1.2043824
0.3,2.332,7.5,150000.0,1.1753642666666666
0.3,2.659,10.0,200000.0,1.1731561333333334
0.3,2.659,12.5,250000.0,1.15735808
0.3,2.659,15.0,300000.0,1.1475377777777778
0.3,2.659,17.5,350000.0,1.145381006802721
0.3,2.659,20.0,400000.0,1.1425646666666667
0.3,2.659,5.0,100000.0,1.1715018666666666
0.3,2.659,7.5,150000.0,1.1798696296296296
0.3,2.998,10.0,200000.0,1.1610846666666668
0.3,2.998,12.5,250000.0,1.1746244266666666
0.3,2.998,15.0,300000.0,1.1745386666666668
0.3,2.998,17.5,350000.0,1.1842433741496599
0.3,2.998,20.0,400000.0,1.1873796666666665
0.3,2.998,5.0,100000.0,1.1672026666666668
0.3,2.998,7.5,150000.0,1.1518243555555554
0.351,1.0,10.0,233999.99999999997,1.2667031339031343
0.351,1.0,12.5,292499.99999999994,1.284899737891738
0.351,1.0,15.0,350999.99999999994,1.2864496359607471
0.351,1.0,17.5,409500.0,1.2963909064480492
0.351,1.0,20.0,467999.99999999994,1.2981390313390315
0.351,1.0,5.0,116999.99999999999,1.2658023931623934
0.351,1.0,7.5,175499.99999999997,1.2529773725862616
0.351,1.332,10.0,233999.99999999997,1.2876843304843306
0.351,1.332,12.5,292499.99999999994,1.303856866096866
0.351,1.332,15.0,350999.99999999994,1.305527572016461
